report_date,region,country,location_name,post_emergency,refugee_pop,persons_per_tap,liters_person_day,safe_water_perc,persons_per_shower,persons_per_toilet,toilets_per_HH_percentage,persons_per_hygiene_promoter
2024-05,Northern Africa,Sudan,Jouri,Post-emergency,14620,229,10,86,NA,33,11,NA
2024-05,Northern Africa,Sudan,Khor Alwarel,Post-emergency,55164,289,9,69,NA,197,0,3447
2024-05,Northern Africa,Sudan,Kilo 26,Post-emergency,9848,328,44,NA,NA,8,50,NA
2024-05,Northern Africa,Sudan,Shagarab I,Post-emergency,50812,565,13,NA,NA,33,7,NA
2024-05,Northern Africa,Sudan,Tunaydba,Post-emergency,23746,47,31,56,10,8,16,539
2024-05,Northern Africa,Sudan,Um Gargour,Post-emergency,14794,228,25,0,17,15,29,1232
2024-05,Northern Africa,Sudan,Um Rakuba,Post-emergency,17300,51,22,61,8,9,12,339
2024-05,Northern Africa,Sudan,Um Sangour,Post-emergency,68078,NA,5,67,NA,70,6,4254
2024-05,Northern Africa,Sudan,Wad Sharife,Post-emergency,18488,134,26,NA,NA,9,42,NA
2024-05,Sub-Saharan Africa,Tanzania,Nyarugusu,Post-emergency,136397,103,25,89,NA,6,74,1532
2024-04,Sub-Saharan Africa,Angola,Lovua settlement,Post-emergency,6208,56,16,NA,17,8,57,1034
2024-04,Sub-Saharan Africa,Ethiopia,Bambasi,Post-emergency,20956,141,23,100,NA,9,53,1164
2024-04,Sub-Saharan Africa,Ethiopia,Sheder,Post-emergency,14463,1288,19,0,8,NA,0,723
2024-04,Sub-Saharan Africa,Ethiopia,Sherkole,Post-emergency,16240,168,18,100,11,12,34,1249
2024-04,Sub-Saharan Africa,Ethiopia,Tsore Camp (Assosa),Post-emergency,43579,199,18,100,14,14,31,2421
2024-04,Western Asia,Iraq,Arbat,Post-emergency,9136,NA,60,100,5,5,100,NA
2024-04,Western Asia,Iraq,Basirma,Post-emergency,9294,19,20,100,5,5,100,NA
2024-04,Western Asia,Iraq,Kawergosk,Post-emergency,7795,6,128,100,5,6,100,974
2024-04,Western Asia,Iraq,Qushtapa,Post-emergency,8392,7,108,100,6,6,100,95
2024-04,Sub-Saharan Africa,Kenya,Dagahaley,Post-emergency,111725,133,19,90,NA,9,53,9310
2024-04,Sub-Saharan Africa,Kenya,Hagadera,Post-emergency,146356,176,15,92,NA,9,60,12196
2024-04,Sub-Saharan Africa,Kenya,Ifo,Post-emergency,102459,89,15,0,NA,9,57,8538
2024-04,Sub-Saharan Africa,Kenya,Ifo 2,Post-emergency,22099,91,21,NA,NA,22,11,3683
2024-04,Sub-Saharan Africa,Malawi,Dzaleka,Post-emergency,48855,116,15,100,6,4,85,921
2024-04,Sub-Saharan Africa,Niger,Abala,Post-emergency,11650,171,11,NA,45,21,17,1664
2024-04,Sub-Saharan Africa,Niger,Ayerou,Post-emergency,9000,250,10,NA,1285,600,0,1285
2024-04,Sub-Saharan Africa,Niger,Centre humanitaire Agadez,Emergency,2686,NA,22,NA,92,46,0,NA
2024-04,Sub-Saharan Africa,Niger,Chadakori,Post-emergency,5282,252,15,NA,58,29,8,330
2024-04,Sub-Saharan Africa,Niger,Dandaji Makao,Post-emergency,4180,418,16,NA,48,27,8,261
2024-04,Sub-Saharan Africa,Niger,Garin Kaka,Post-emergency,2937,210,18,NA,54,20,13,183
2024-04,Sub-Saharan Africa,Niger,Ouallam,Post-emergency,6500,98,16,NA,101,15,28,NA
2024-04,Sub-Saharan Africa,Niger,Sayam Forage,Post-emergency,31174,266,10,NA,149,24,13,15587
2024-04,Sub-Saharan Africa,Rwanda,Kigeme,Post-emergency,14673,81,15,100,42,34,0,815
2024-04,Sub-Saharan Africa,Rwanda,Kiziba,Post-emergency,14893,62,34,100,59,21,0,323
2024-04,Sub-Saharan Africa,Rwanda,Mahama,Post-emergency,63392,82,20,100,19,19,0,615
2024-04,Sub-Saharan Africa,Rwanda,Mugombwa,Post-emergency,11857,75,23,100,37,26,0,NA
2024-04,Sub-Saharan Africa,Rwanda,Nyabiheke,Post-emergency,11957,76,14,97,40,16,0,323
2024-04,Northern Africa,Sudan,Abuda,Post-emergency,3560,66,30,NA,NA,6,60,NA
2024-04,Northern Africa,Sudan,Al Jameya,Post-emergency,28882,257,12,97,NA,24,18,1805
2024-04,Northern Africa,Sudan,Al Kashafa,Post-emergency,20357,198,9,91,NA,23,20,NA
2024-04,Northern Africa,Sudan,Al Redis 1,Post-emergency,15266,216,14,94,NA,19,21,954
2024-04,Northern Africa,Sudan,Al Redis 2,Post-emergency,40048,228,7,94,NA,48,7,2503
2024-04,Northern Africa,Sudan,Alagaya,Post-emergency,61827,296,5,81,NA,112,3,3864
2024-04,Northern Africa,Sudan,Dabat Bosin,Post-emergency,28802,425,4,67,162,154,0,1800
2024-04,Northern Africa,Sudan,Girba,Post-emergency,6409,214,28,NA,NA,9,45,NA
2024-04,Northern Africa,Sudan,Jouri,Post-emergency,14620,229,9,89,NA,33,11,NA
2024-04,Northern Africa,Sudan,Khor Alwarel,Post-emergency,55164,289,9,85,NA,197,0,3447
2024-04,Northern Africa,Sudan,Kilo 26,Post-emergency,9848,328,32,NA,NA,8,50,NA
2024-04,Northern Africa,Sudan,Shagarab I,Post-emergency,50812,565,14,NA,NA,33,7,NA
2024-04,Northern Africa,Sudan,Um Sangour,Post-emergency,68078,NA,6,68,NA,70,6,4254
2024-04,Northern Africa,Sudan,Wad Sharife,Post-emergency,18488,134,26,NA,NA,9,42,NA
2024-04,Sub-Saharan Africa,Tanzania,Nyarugusu,Post-emergency,136850,106,19,88,NA,6,77,1487
2024-03,Sub-Saharan Africa,Angola,Lovua settlement,Post-emergency,6176,56,22,NA,17,7,62,1235
2024-03,Sub-Saharan Africa,Chad,Bredjing,Post-emergency,53224,336,18,100,NA,10,57,13306
2024-03,Sub-Saharan Africa,Chad,Treguine,Post-emergency,28664,166,6,100,NA,10,58,4777
2024-03,Sub-Saharan Africa,Ethiopia,Bambasi,Post-emergency,20919,141,19,100,NA,9,53,1162
2024-03,Sub-Saharan Africa,Ethiopia,Fugnido,Post-emergency,51871,103,16,100,31,22,25,1921
2024-03,Sub-Saharan Africa,Ethiopia,Fugnido 2,Post-emergency,11412,NA,0,97,35,15,36,1630
2024-03,Sub-Saharan Africa,Ethiopia,Kule,Post-emergency,53716,187,10,100,34,24,22,2685
2024-03,Sub-Saharan Africa,Ethiopia,Nguenyyiel,Post-emergency,111996,158,11,100,17,17,26,2666
2024-03,Sub-Saharan Africa,Ethiopia,Sherkole,Post-emergency,16056,167,9,100,11,11,34,1235
2024-03,Sub-Saharan Africa,Ethiopia,Tierkidi,Post-emergency,73040,259,12,96,34,23,23,2434
2024-03,Sub-Saharan Africa,Ethiopia,Tsore Camp (Assosa),Post-emergency,43579,199,11,100,14,14,31,2421
2024-03,Western Asia,Iraq,Arbat,Post-emergency,9136,NA,60,100,5,5,100,NA
2024-03,Western Asia,Iraq,Basirma,Post-emergency,9294,19,20,100,5,5,100,NA
2024-03,Western Asia,Iraq,Kawergosk,Post-emergency,7795,6,128,100,5,6,100,974
2024-03,Western Asia,Iraq,Qushtapa,Post-emergency,8392,7,108,100,6,6,100,95
2024-03,Sub-Saharan Africa,Kenya,Dagahaley,Post-emergency,125790,149,16,92,NA,10,49,10482
2024-03,Sub-Saharan Africa,Kenya,Hagadera,Post-emergency,131312,158,17,100,NA,8,61,10942
2024-03,Sub-Saharan Africa,Kenya,Ifo,Post-emergency,98875,86,20,99,NA,9,56,8239
2024-03,Sub-Saharan Africa,Kenya,Ifo 2,Post-emergency,22206,91,24,NA,NA,22,10,3701
2024-03,Sub-Saharan Africa,Malawi,Dzaleka,Post-emergency,48575,128,15,NA,6,4,85,916
2024-03,Sub-Saharan Africa,Niger,Abala,Post-emergency,11650,171,11,NA,45,21,17,1664
